depth,time,value
4.6,2011-04-28 04:29:36.0,30.385872
4.6,2011-04-28 04:39:36.0,30.376021
4.6,2011-04-28 04:49:36.0,30.346467
4.6,2011-04-28 04:59:36.0,30.405574
4.6,2011-04-28 05:09:36.0,30.415426
4.6,2011-04-28 05:19:36.0,30.307062
4.6,2011-04-28 05:29:36.0,30.326765
4.6,2011-04-28 05:39:36.0,30.336616
4.6,2011-04-28 05:49:36.0,30.395723
4.6,2011-04-28 05:59:36.0,30.435128
4.6,2011-04-28 06:09:36.0,30.376021
4.6,2011-04-28 06:19:36.0,30.415426
4.6,2011-04-28 06:29:36.0,30.336616
4.6,2011-04-28 06:39:36.0,30.307062
4.6,2011-04-28 06:49:36.0,30.376021
4.6,2011-04-28 06:59:36.0,30.415426
4.6,2011-04-28 07:09:36.0,30.277508
4.6,2011-04-28 07:19:36.0,30.376021
4.6,2011-04-28 07:29:36.0,30.366169
4.6,2011-04-28 07:39:36.0,30.405574
4.6,2011-04-28 07:49:36.0,30.405574
4.6,2011-04-28 07:59:36.0,30.395723
4.6,2011-04-28 08:09:36.0,30.336616
4.6,2011-04-28 08:19:36.0,30.356318
4.6,2011-04-28 08:29:36.0,30.376021
4.6,2011-04-28 08:39:36.0,30.405574
4.6,2011-04-28 08:49:36.0,30.405574
4.6,2011-04-28 08:59:36.0,30.385872
4.6,2011-04-28 09:09:36.0,30.297211
4.6,2011-04-28 09:19:36.0,30.247955
4.6,2011-04-28 09:29:36.0,30.267657
4.6,2011-04-28 09:39:36.0,30.297211
4.6,2011-04-28 09:49:36.0,30.336616
4.6,2011-04-28 09:59:36.0,30.297211
4.6,2011-04-28 10:09:36.0,30.307062
4.6,2011-04-28 10:19:36.0,30.336616
4.6,2011-04-28 10:29:36.0,30.366169
4.6,2011-04-28 10:39:36.0,30.336616
4.6,2011-04-28 10:49:36.0,30.297211
4.6,2011-04-28 10:59:36.0,30.277508
4.6,2011-04-28 11:09:36.0,30.28736
4.6,2011-04-28 11:19:36.0,30.28736
4.6,2011-04-28 11:29:36.0,30.28736
4.6,2011-04-28 11:39:36.0,30.297211
4.6,2011-04-28 11:49:36.0,30.307062
4.6,2011-04-28 11:59:36.0,30.316913
4.6,2011-04-28 12:09:36.0,30.316913
4.6,2011-04-28 12:19:36.0,30.307062
4.6,2011-04-28 12:29:36.0,30.267657
4.6,2011-04-28 12:39:36.0,30.277508
4.6,2011-04-28 12:49:36.0,30.28736
