country	source	sector	gas	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
ANNEXI	UNFCCC_AI	Energy	Aggregate F-gases
ANNEXI	UNFCCC_AI	Industrial Processes and Product Use	Aggregate F-gases	286.0091741	278.3095561	270.6939551	263.9047713	271.767632	305.0958406	317.9641248	332.7529577	348.4235907	327.3009341	326.6916623	302.6258233	304.2785024	292.7154269	304.5280341	314.3081172	320.5513369	337.695923	344.6391477	330.426017	350.5945315	359.9323535	373.9607256	382.9768763	392.1902765	393.4318014	400.5218117	416.424837
ANNEXI	UNFCCC_AI	Agriculture	Aggregate F-gases
ANNEXI	UNFCCC_AI	Land Use, Land-Use Change and Forestry	Aggregate F-gases
ANNEXI	UNFCCC_AI	Waste	Aggregate F-gases
ANNEXI	UNFCCC_AI	Other	Aggregate F-gases					1.81E-05	1.87E-05	2.00E-05	2.20E-05	2.43E-05	2.68E-05	2.89E-05	3.67E-05	5.03E-05	5.80E-05	6.00E-05	6.28E-05	6.49E-05	8.41E-05	0.000104195	0.000124135	0.000144533	0.000167274	0.000188659	0.000206503	0.000227246	0.000245458	0.000262791	0.000280022
ANNEXI	UNFCCC_AI	Energy	Aggregate GHGs	15189.29839	14931.36596	14446.77736	14300.64441	14094.55639	14153.90305	14450.56596	14341.97709	14333.62229	14379.96928	14565.06252	14596.81854	14610.0704	14832.88035	14945.54311	14999.3676	14976.84864	15075.95006	14768.9251	13846.79681	14272.7755	14115.51491	13922.40935	13916.46979	13700.70431	13532.8852	13405.13489	13423.89298
ANNEXI	UNFCCC_AI	Industrial Processes and Product Use	Aggregate GHGs	1506.161879	1417.369843	1369.184517	1309.811481	1320.390727	1377.703319	1377.659369	1392.902388	1354.186568	1317.342445	1347.982073	1284.070933	1285.553836	1294.44475	1346.663925	1346.088813	1371.17193	1411.358391	1348.013527	1160.589393	1257.331866	1289.204046	1282.837433	1282.720048	1291.442212	1276.335758	1278.074587	1300.821206
ANNEXI	UNFCCC_AI	Agriculture	Aggregate GHGs	1682.502164	1629.729373	1581.920357	1557.303208	1516.07146	1500.370209	1484.045154	1460.380092	1459.21469	1423.630746	1418.925657	1416.142702	1406.968291	1398.296806	1421.032497	1392.440963	1393.208863	1409.104951	1400.063514	1393.245656	1391.088067	1391.758344	1380.601407	1407.191087	1411.800946	1429.533478	1434.603585	1451.198112
ANNEXI	UNFCCC_AI	Land Use, Land-Use Change and Forestry	Aggregate GHGs	-1241.573995	-1308.756408	-1331.632817	-1320.274713	-1472.032988	-1531.688431	-1680.089999	-1732.555591	-1852.944003	-1865.146818	-1836.230227	-1879.548096	-1878.338854	-1796.127235	-1795.543225	-1815.684686	-1830.943496	-1765.992772	-1825.02766	-1933.942874	-1959.00661	-1960.866748	-1952.541848	-1926.049338	-1828.00317	-1871.329954	-1882.006531	-1814.938878
ANNEXI	UNFCCC_AI	Waste	Aggregate GHGs	600.907935	607.2907474	609.5049512	608.2545135	609.7256526	607.1827013	602.0880774	590.9499257	578.1755827	567.9085869	562.9575258	554.5832659	550.1238925	546.8355646	537.7486471	528.0402557	521.9715633	515.4758865	507.9410579	497.0708852	493.4370299	479.5362165	476.5713881	467.6470759	464.7727347	463.8217197	458.7421501	457.4155093
ANNEXI	UNFCCC_AI	Other	Aggregate GHGs	0.015856598	0.015851807	0.015841802	0.015810228	0.015807702	0.015782206	0.015731913	0.015710272	0.014669941	0.015980101	0.016585843	0.017448515	0.016536048	0.017686405	0.017539755	0.017206116	0.01613308	0.017498043	0.016652489	0.016336486	0.016095261	0.017070048	0.017481003	0.017191095	0.01432109	0.01527159	0.015040275	0.015513198
ANNEXI	UNFCCC_AI	Energy	CH₄	1051.49152	1016.929622	987.8870989	951.759155	913.8184751	895.7206062	889.2213105	884.5291302	861.5351714	853.9572534	832.4602292	829.537465	803.1684713	812.4712432	810.1451644	809.0523846	814.3271302	810.4880092	821.5576885	774.6178686	791.9037258	784.8539316	776.121389	770.0496897	757.9175724	738.7362763	735.0479781	743.2677206
ANNEXI	UNFCCC_AI	Industrial Processes and Product Use	CH₄	4.217461656	3.868311486	3.752911638	3.53054726	3.496897708	3.377831945	3.28903201	3.470688572	3.402953091	3.545128682	3.690882452	4.337956158	5.08701977	5.856321369	6.676123144	5.99719886	5.924281652	5.914793296	4.440426739	3.116422465	3.755268732	5.187683733	4.762091136	3.560949997	3.441892391	3.355246717	3.480069977	4.411729772
ANNEXI	UNFCCC_AI	Agriculture	CH₄	899.0918572	881.0221105	859.9001673	843.3115475	838.6393665	826.3103139	811.6130241	792.0492742	779.4576938	769.6142519	766.1010412	760.9073075	756.5435988	748.7921473	741.4752525	745.1238867	738.1444463	745.6912681	734.0004021	730.4190745	724.8128375	723.3016231	725.1815772	723.746413	725.7961403	728.7014645	734.1324033	742.6498156
ANNEXI	UNFCCC_AI	Land Use, Land-Use Change and Forestry	CH₄	53.44578795	50.69409313	50.08012596	49.10512449	54.35841236	49.1224186	54.59861054	48.05580791	55.66477262	50.99445743	58.9951252	51.20303393	58.76770396	59.28698218	53.94646612	56.08846966	60.80026964	63.60076868	59.51421995	58.10497296	53.56742178	54.77121693	59.07699896	53.03701265	55.09421132	61.09505562	53.61066481	56.32551278
