DATE CREATED
2020-11-23T10:02:46+10:00

ATTRIBUTION
http://www.aims.gov.au/docs/cc-attribution.html

DISCLAIMER
http://www.aims.gov.au/docs/disclaimer.html

PRIVACY
http://www.aims.gov.au/docs/privacy-policy.html

COPYRIGHT
http://www.aims.gov.au/docs/cc-copyright.html

COMMENT
"These data are provided by this web service under a Creative Commons License.  Please read the copyright statement and attribute AIMS according to the attribution information above.  All or some data delivered by this service may be provided by a third party and should also be attributed.  The ownership of data will be associated with the deployment information in the data.  If no ownership is supplied, AIMS is the implied owner. "

SENSOR DEFINITIONS
"Omega Interchangeable Thermistors - ON-950-440005, 3000 Ohm @ 25 deg C #MYR2"

UOM DEFINITIONS
Degrees Celsius

STATION
Myrmidon Reef
LATITUDE
-18.274247
LONGITUDE
147.381736

Long term averages
DATE,TOTAL_YEARS,LONG_TERM_AVERAGE,wtemp_LEVEL0_summer_98_99,wtemp_LEVEL0_summer_99_00,wtemp_LEVEL0_summer_00_01,wtemp_LEVEL0_summer_01_02,wtemp_LEVEL0_summer_02_03,wtemp_LEVEL0_summer_03_04,wtemp_LEVEL0_summer_04_05,wtemp_LEVEL0_summer_05_06,wtemp_LEVEL0_summer_06_07,wtemp_LEVEL0_summer_07_08,wtemp_LEVEL0_summer_08_09,wtemp_LEVEL0_summer_09_10,wtemp_LEVEL0_summer_10_11,wtemp_LEVEL0_summer_11_12,wtemp_LEVEL0_summer_12_13,wtemp_LEVEL0_summer_13_14,wtemp_LEVEL0_summer_14_15,wtemp_LEVEL0_summer_15_16,wtemp_LEVEL0_summer_16_17,wtemp_LEVEL0_summer_17_18,wtemp_LEVEL0_summer_18_19,wtemp_LEVEL0_summer_19_20
14-JAN,18,28.47792998833139,29.371,28.3181,27.7379,-22.4033,-22.41,-22.41,27.8904,28.7761,28.6182,28.7644,28.7453,28.7445,29.3929,,,,,,,29.1334,28.2892,28.3322
15-JAN,18,28.576194895591648,29.5219,28.3171,27.8798,-22.4019,-22.4102,-22.41,28.0385,28.8361,28.3923,28.7166,28.9334,28.8027,29.356,,,,,,,29.2671,28.2653,28.6118
16-JAN,18,28.58189571263036,29.4938,28.3008,28.0829,-22.4035,-22.41,-22.41,28.0919,28.642,28.1039,28.7513,29.0416,28.8478,,,,,,,28.9136,28.2317,28.9259
17-JAN,18,28.639569105691056,29.371,28.2967,28.2206,-22.4029,-22.4102,-22.4083,28.4108,28.7421,28.0197,29.3054,29.1095,29.0115,,,,,,,28.5292,28.2651,28.9012
18-JAN,18,28.614127906976744,29.2667,28.3292,28.1767,-22.4046,-22.41,-22.4065,28.4754,28.816,28.1014,29.122,28.9704,29.1123,29.6235,,,,,,,28.5722,28.1795,29.0208
19-JAN,18,28.577345307068367,29.1265,28.1792,28.1956,-22.4058,-22.41,-22.4083,28.1735,29.0162,28.1675,28.7226,28.7234,29.2147,29.6439,,,,,,,28.7169,28.2204,29.0245
20-JAN,18,28.602981481481482,29.0602,28.5329,27.8908,-22.4048,-22.4104,-22.41,28.3729,29.0112,28.1485,29.1503,28.7213,29.1208,29.4579,,,,,,,28.6017,28.2858,29.2564
21-JAN,18,28.644955967555042,29.0052,28.6215,27.4877,-22.4067,-22.4102,-22.4081,28.4785,29.1441,28.3359,28.7145,28.7348,28.6937,29.2631,,,,,,,28.4506,28.3167,29.0794
22-JAN,18,28.717015294117648,28.979,28.6179,27.3079,-22.4048,-22.41,-22.4096,28.6525,29.0925,28.5704,28.7155,28.9293,28.7342,29.0329,,,,,,,28.3952,28.3429,29.228
23-JAN,18,28.735584905660378,29.111,28.7002,28.7219,-22.4054,-22.41,-22.4081,28.5663,29.2339,28.6148,28.4768,29.0017,28.7698,29.005,,,,,,,28.3376,28.4568,29.4069
24-JAN,18,28.73887935034803,29.3342,28.5758,28.7071,-22.4054,-22.41,-22.4071,28.7254,29.2065,28.854,28.5108,28.9835,28.6595,29.0733,,,,,,,28.2717,28.5069,29.5063
25-JAN,18,28.813290697674418,29.5729,28.8381,28.6821,-22.4058,-22.4104,-22.4081,28.6192,29.311,28.8709,28.5061,29.0487,28.5873,29.0024,,,,,,,28.3456,28.4832,29.8509
