DATE CREATED
2020-11-23T10:02:33+10:00

ATTRIBUTION
http://www.aims.gov.au/docs/cc-attribution.html

DISCLAIMER
http://www.aims.gov.au/docs/disclaimer.html

PRIVACY
http://www.aims.gov.au/docs/privacy-policy.html

COPYRIGHT
http://www.aims.gov.au/docs/cc-copyright.html

COMMENT
"These data are provided by this web service under a Creative Commons License.  Please read the copyright statement and attribute AIMS according to the attribution information above.  All or some data delivered by this service may be provided by a third party and should also be attributed.  The ownership of data will be associated with the deployment information in the data.  If no ownership is supplied, AIMS is the implied owner. "

SENSOR DEFINITIONS
MEA2173 SDI-12 Smart Temperature Sensor 8

UOM DEFINITIONS
Degrees Celsius

STATION
Lizard Island
LATITUDE
-14.68752
LONGITUDE
145.4635

Long term averages
DATE,TOTAL_YEARS,LONG_TERM_AVERAGE,wtemp_LEVEL0_summer_98_99,wtemp_LEVEL0_summer_99_00,wtemp_LEVEL0_summer_00_01,wtemp_LEVEL0_summer_01_02,wtemp_LEVEL0_summer_02_03,wtemp_LEVEL0_summer_03_04,wtemp_LEVEL0_summer_04_05,wtemp_LEVEL0_summer_05_06,wtemp_LEVEL0_summer_06_07,wtemp_LEVEL0_summer_07_08,wtemp_LEVEL0_summer_08_09,wtemp_LEVEL0_summer_09_10,wtemp_LEVEL0_summer_10_11,wtemp_LEVEL0_summer_11_12,wtemp_LEVEL0_summer_12_13,wtemp_LEVEL0_summer_13_14,wtemp_LEVEL0_summer_14_15,wtemp_LEVEL0_summer_15_16,wtemp_LEVEL0_summer_16_17,wtemp_LEVEL0_summer_17_18,wtemp_LEVEL0_summer_18_19,wtemp_LEVEL0_summer_19_20
24-NOV,10,27.61248979166667,,,,,,,,,,,,,28.0432,28.1459,27.175,29.0549,27.2249,,,27.2917,28.0603,26.7066
25-NOV,10,27.652639583333332,,,,,,,,,,,,,28.0951,28.1572,27.0969,28.8383,27.2066,,,27.3414,28.1078,26.936
26-NOV,10,27.642413958333332,,,,,,,,,,,,,28.161,28.0924,27.0711,28.4262,27.2735,,,27.343,28.2197,27.1175
27-NOV,10,27.63432693110647,,,,,,,,,,,,,28.0957,27.9279,27.016,28.7634,27.2975,,,27.324,28.2919,27.1002
28-NOV,10,27.61360668058455,,,,,,,,,,,,,28.0524,28.0798,27.1141,28.1948,27.2498,,,27.4864,28.4485,27.0136
29-NOV,10,27.552777338877338,,,,,,,,,,,,,28.0667,28.3476,27.2111,28.1642,27.2579,,,27.5756,28.2098,26.9557
30-NOV,10,27.599407306889354,,,,,,,,,,,,,28.3677,28.6737,27.3484,28.6898,27.2815,,,27.7106,28.3503,27.1047
01-DEC,10,27.682685386221294,,,,,,,,,,,,,28.6824,28.7735,27.4171,28.5709,27.3085,,,28.0186,28.7411,27.3023
02-DEC,10,27.73914560669456,,,,,,,,,,,,,28.6177,28.7315,27.306,28.0661,27.394,,,28.2042,29.3265,27.7725
03-DEC,10,27.732226458333333,,,,,,,,,,,,,28.9105,28.7091,27.5349,27.8637,27.3884,,,28.6529,29.0328,28.2267
04-DEC,10,27.782908958333334,,,,,,,,,,,,,29.0545,28.7295,27.9881,27.9702,27.4619,,,28.3572,28.878,28.6803
05-DEC,10,27.81304875,,,,,,,,,,,,,29.1199,29.1181,28.4806,27.8545,,,28.5718,28.8337,28.4864
06-DEC,11,27.95118780487805,,,,,,,,,,,,,29.3245,29.5661,28.5136,28.2183,,,,28.9152,28.6069,28.5327
07-DEC,11,28.03440416666667,,,,,,,,,,,,,29.3491,29.5183,28.2289,28.2834,,,,29.038,28.1378,28.4969
08-DEC,11,28.087151136363637,,,,,,,,,,,,,29.2499,29.7045,27.9124,27.9816,,,,29.067,27.8838,28.2947
09-DEC,11,28.12264724857685,,,,,,,,,,,,,29.2332,29.6972,27.5877,27.835,,,,28.8409,27.6582,27.9834
10-DEC,11,28.14190018939394,,,,,,,,,,,,,29.2229,29.976,27.5536,27.9872,,,,28.393,28.0193,27.6263
11-DEC,11,28.190598674242423,,,,,,,,,,,,,29.6689,30.1047,27.5948,28.2301,,,,28.0317,28.3357,27.5474
12-DEC,11,28.290991461100568,,,,,,,,,,,,,29.8261,30.0645,27.5443,28.6026,,,,28.0609,28.7559,27.7284
13-DEC,11,28.275247817836814,,,,,,,,,,,,,29.9287,29.9578,27.5064,28.5496,,,,28.0503,29.3471,27.8922
14-DEC,11,28.287301904761904,,,,,,,,,,,,,29.4551,30.0609,27.5537,28.6487,,,,28.0565,28.8501,28.2315
15-DEC,11,28.313078977272728,,,,,,,,,,,,,29.3936,30.1695,27.6702,28.4681,,,,28.0806,28.5132,28.3182
