DATE CREATED
2020-11-19T11:37:27+10:00

ATTRIBUTION
http://www.aims.gov.au/docs/cc-attribution.html

DISCLAIMER
http://www.aims.gov.au/docs/disclaimer.html

PRIVACY
http://www.aims.gov.au/docs/privacy-policy.html

COPYRIGHT
http://www.aims.gov.au/docs/cc-copyright.html

COMMENT
"These data are provided by this web service under a Creative Commons License.  Please read the copyright statement and attribute AIMS according to the attribution information above.  All or some data delivered by this service may be provided by a third party and should also be attributed.  The ownership of data will be associated with the deployment information in the data.  If no ownership is supplied, AIMS is the implied owner. "

SENSOR DEFINITIONS
MEA2173 SDI-12 Smart Temperature Sensor 15

UOM DEFINITIONS
Degrees Celsius

STATION
Heron Island
LATITUDE
-23.44822
LONGITUDE
151.98386

Long term averages
DATE,TOTAL_YEARS,LONG_TERM_AVERAGE,wtemp_LEVEL1_summer_98_99,wtemp_LEVEL1_summer_99_00,wtemp_LEVEL1_summer_00_01,wtemp_LEVEL1_summer_01_02,wtemp_LEVEL1_summer_02_03,wtemp_LEVEL1_summer_03_04,wtemp_LEVEL1_summer_04_05,wtemp_LEVEL1_summer_05_06,wtemp_LEVEL1_summer_06_07,wtemp_LEVEL1_summer_07_08,wtemp_LEVEL1_summer_08_09,wtemp_LEVEL1_summer_09_10,wtemp_LEVEL1_summer_10_11,wtemp_LEVEL1_summer_11_12,wtemp_LEVEL1_summer_12_13,wtemp_LEVEL1_summer_13_14,wtemp_LEVEL1_summer_14_15,wtemp_LEVEL1_summer_15_16,wtemp_LEVEL1_summer_16_17,wtemp_LEVEL1_summer_17_18,wtemp_LEVEL1_summer_18_19,wtemp_LEVEL1_summer_19_20
01-NOV,9,23.438139351851852,,,,,,,,,,,,23.7272,23.7765,23.152,24.6422,,24.4724,23.5218,24.2776,25.7855,24.3825,23.4966
02-NOV,9,23.455097916666666,,,,,,,,,,,,23.5611,24.0341,23.3429,24.6312,,24.5255,23.9836,24.3284,25.711,24.1399,23.8047
03-NOV,9,23.48839071925754,,,,,,,,,,,,23.618,23.963,24.0653,24.3069,,24.6421,24.4987,24.0252,25.561,24.1951,24.2409
04-NOV,9,23.509124768518518,,,,,,,,,,,,24.09,23.3387,24.3556,23.3608,,23.7296,25.0791,23.8776,25.4303,24.2066,24.5695
05-NOV,9,23.648877314814815,,,,,,,,,,,,24.2983,23.3188,24.5858,23.5552,,23.3906,25.2391,24.3274,25.1736,24.2078,24.7534
06-NOV,9,23.753680324074075,,,,,,,,,,,,24.3873,23.9184,24.2115,23.9493,,23.8652,25.2025,24.8673,25.0115,24.4202,23.759
07-NOV,9,23.84560601851852,,,,,,,,,,,,24.4347,23.9375,23.9739,23.9933,,24.3089,25.0652,25.6553,25.1382,24.6366,24.1714
08-NOV,9,23.94040162037037,,,,,,,,,,,,23.9749,24.0088,24.2374,24.9065,,24.5481,25.2501,25.3837,24.9585,24.5385,24.0573
09-NOV,9,23.987225,,,,,,,,,,,,23.4862,23.7777,24.3972,24.7222,,24.4573,25.4526,25.2894,23.9401,23.4929,24.292
10-NOV,9,23.980342824074075,,,,,,,,,,,,23.5491,23.9822,24.5051,24.7672,,24.3095,24.8151,25.1426,23.8285,23.4991,23.4952
11-NOV,9,23.98980138888889,,,,,,,,,,,,23.7003,24.166,24.6872,24.1196,,24.5062,24.8234,24.9876,23.8343,23.7601,23.8344
