DATE CREATED
2020-11-23T10:03:07+10:00

ATTRIBUTION
http://www.aims.gov.au/docs/cc-attribution.html

DISCLAIMER
http://www.aims.gov.au/docs/disclaimer.html

PRIVACY
http://www.aims.gov.au/docs/privacy-policy.html

COPYRIGHT
http://www.aims.gov.au/docs/cc-copyright.html

COMMENT
"These data are provided by this web service under a Creative Commons License.  Please read the copyright statement and attribute AIMS according to the attribution information above.  All or some data delivered by this service may be provided by a third party and should also be attributed.  The ownership of data will be associated with the deployment information in the data.  If no ownership is supplied, AIMS is the implied owner. "

SENSOR DEFINITIONS
MEA2173 SDI-12 Smart Temperature Sensor 11

UOM DEFINITIONS
Degrees Celsius

STATION
Square Rocks
LATITUDE
-23.09862
LONGITUDE
150.88554

Long term averages
DATE,TOTAL_YEARS,LONG_TERM_AVERAGE,wtemp_LEVEL0_summer_98_99,wtemp_LEVEL0_summer_99_00,wtemp_LEVEL0_summer_00_01,wtemp_LEVEL0_summer_01_02,wtemp_LEVEL0_summer_02_03,wtemp_LEVEL0_summer_03_04,wtemp_LEVEL0_summer_04_05,wtemp_LEVEL0_summer_05_06,wtemp_LEVEL0_summer_06_07,wtemp_LEVEL0_summer_07_08,wtemp_LEVEL0_summer_08_09,wtemp_LEVEL0_summer_09_10,wtemp_LEVEL0_summer_10_11,wtemp_LEVEL0_summer_11_12,wtemp_LEVEL0_summer_12_13,wtemp_LEVEL0_summer_13_14,wtemp_LEVEL0_summer_14_15,wtemp_LEVEL0_summer_15_16,wtemp_LEVEL0_summer_16_17,wtemp_LEVEL0_summer_17_18,wtemp_LEVEL0_summer_18_19,wtemp_LEVEL0_summer_19_20
11-NOV,8,25.28406984126984,,,24.4504,25.6708,25.5173,24.886,25.7696,,24.9094,24.9673,,,24.1686,25.1903,24.1918,25.2666,,25.4223,25.7479,24.6852,25.139,24.5028
12-NOV,8,25.34834818941504,,,24.5346,25.9265,25.5317,25.0494,25.819,,25.3481,24.8185,,,24.3331,25.2719,23.8845,25.3679,,25.485,25.9445,24.3865,25.0791,24.6048
13-NOV,8,25.485457291666666,,,24.5198,25.9783,25.6413,25.2056,25.9958,,25.4567,24.6754,,,24.3853,25.332,23.8021,25.467,25.4355,25.684,26.1974,24.3008,25.0818,24.7444
14-NOV,8,25.449073697916667,,,24.4683,25.8504,25.7256,25.1008,26.1204,,25.381,24.5002,,,24.7066,25.3914,23.8899,25.5268,25.4836,25.8586,26.1826,24.2976,25.2909,24.8601
15-NOV,8,25.3925859375,,,24.51,25.659,25.8133,24.8894,26.0923,,25.2838,24.3894,,,24.756,25.4778,24.0132,25.5908,25.7029,26.0722,25.875,24.3259,25.4669,24.9796
16-NOV,8,25.490936639118456,,,24.4265,25.7235,25.6435,25.1477,26.2515,,25.2475,24.4517,,,24.8707,25.6603,24.2469,25.6706,25.6673,25.76,25.8087,24.4681,25.5906,25.1503
17-NOV,8,25.282201822916665,,,24.2775,25.716,25.2792,25.444,26.3404,,24.5015,24.5342,,,25.0122,25.7551,24.7094,25.7169,25.2921,25.6361,25.6072,24.5193,25.6907,25.2062
18-NOV,8,25.2395921875,,,24.4335,25.746,24.971,25.5977,26.2456,,24.2667,24.545,,,24.9578,25.7919,24.9477,25.6319,25.2085,25.5856,25.3503,24.5301,25.8072,25.3584
19-NOV,8,25.267007552083335,,,24.5923,25.7267,24.7788,25.7271,26.2954,24.1431,24.6015,,,24.9604,25.7785,24.9004,25.7817,25.4216,25.7011,25.2088,24.4557,25.8021,25.5937
20-NOV,8,25.310882291666665,,,24.9765,,24.77,25.8273,26.4079,77.4577,24.0763,24.63,,,24.9366,25.7454,24.8315,25.9475,25.5671,25.8237,25.207,24.4114,25.8451,25.6796
