DATE CREATED
2020-11-23T10:01:40+10:00

ATTRIBUTION
http://www.aims.gov.au/docs/cc-attribution.html

DISCLAIMER
http://www.aims.gov.au/docs/disclaimer.html

PRIVACY
http://www.aims.gov.au/docs/privacy-policy.html

COPYRIGHT
http://www.aims.gov.au/docs/cc-copyright.html

COMMENT
"These data are provided by this web service under a Creative Commons License.  Please read the copyright statement and attribute AIMS according to the attribution information above.  All or some data delivered by this service may be provided by a third party and should also be attributed.  The ownership of data will be associated with the deployment information in the data.  If no ownership is supplied, AIMS is the implied owner. "

SENSOR DEFINITIONS
MEA2173 SDI-12 Smart Temperature Sensor 9

UOM DEFINITIONS
Degrees Celsius

STATION
Cleveland Bay
LATITUDE
-19.13866
LONGITUDE
146.899

Long term averages
DATE,TOTAL_YEARS,LONG_TERM_AVERAGE,wtemp_LEVEL0_summer_98_99,wtemp_LEVEL0_summer_99_00,wtemp_LEVEL0_summer_00_01,wtemp_LEVEL0_summer_01_02,wtemp_LEVEL0_summer_02_03,wtemp_LEVEL0_summer_03_04,wtemp_LEVEL0_summer_04_05,wtemp_LEVEL0_summer_05_06,wtemp_LEVEL0_summer_06_07,wtemp_LEVEL0_summer_07_08,wtemp_LEVEL0_summer_08_09,wtemp_LEVEL0_summer_09_10,wtemp_LEVEL0_summer_10_11,wtemp_LEVEL0_summer_11_12,wtemp_LEVEL0_summer_12_13,wtemp_LEVEL0_summer_13_14,wtemp_LEVEL0_summer_14_15,wtemp_LEVEL0_summer_15_16,wtemp_LEVEL0_summer_16_17,wtemp_LEVEL0_summer_17_18,wtemp_LEVEL0_summer_18_19,wtemp_LEVEL0_summer_19_20
16-DEC,9,28.848799768518518,,26.965,27.1496,30.0323,29.0908,29.7694,30.0171,30.5917,27.5744,29.1879,30.0942,28.9354,29.7517,,,28.8088,29.71,,28.6489,29.1497,27.2667,28.8451
17-DEC,9,28.794581944444445,,27.4675,27.0573,30.0292,29.0121,29.2823,30.2858,30.49,27.9288,29.2644,29.2335,28.6521,29.9823,,,28.6164,30.1682,,28.9165,29.0786,27.2939,27.7774
18-DEC,9,28.735757175925926,,27.6425,26.9877,30.1873,28.9667,29.1206,29.8138,30.7008,28.0054,29.5171,29.3929,28.5058,30.2979,,28.6701,28.4477,30.3741,,29.191,28.7699,27.8252,28.2368
19-DEC,9,28.647927777777777,,28.2154,26.9077,30.2815,28.885,28.7635,29.2058,30.7279,27.9035,29.5927,29.6783,28.6313,30.0748,,28.7098,28.0187,30.2495,,29.3146,28.8397,28.1269,27.7356
20-DEC,9,28.91123287037037,,27.9733,26.9419,30.1048,28.78,28.8008,29.5117,30.9165,27.8052,29.8769,30.1763,28.7652,29.8246,,29.0591,27.6267,30.2497,,29.2937,28.9846,28.583,28.1833
21-DEC,9,28.82895925925926,,27.4283,26.8242,29.9715,28.7954,28.9281,29.7419,30.1927,27.7408,29.9067,30.2,28.93,29.4756,,29.2836,27.4603,30.2194,,29.1736,29.1012,28.9395,27.9046
22-DEC,9,28.75527465116279,,26.8485,26.8398,30.0804,28.7342,29.1875,29.8119,29.1248,27.5567,30.0177,29.8254,29.106,28.5727,,29.2293,27.4826,29.3671,,29.3649,29.1419,29.1091,28.0625
23-DEC,9,28.615059953703703,,26.6648,27.2227,30.1448,28.5915,29.415,29.9394,28.6115,27.3227,30.0327,29.3019,29.3698,28.2021,,28.9438,27.6267,29.2086,,29.3188,29.1669,29.0355,28.0693
24-DEC,9,28.64517037037037,,26.3021,27.5596,30.2615,28.8569,29.635,29.9963,28.5617,27.2692,30.115,29.3294,29.6021,27.8854,,28.7388,27.8579,29.3932,,29.2696,29.2549,28.6836,28.0838
25-DEC,9,28.733174537037037,,26.0344,27.8092,30.371,29.1035,29.7838,29.9379,28.8694,27.5446,30.1694,29.5954,29.801,27.57,,28.7788,28.062,29.5323,,29.2891,29.5353,28.3096,28.3639
