DATE CREATED
2020-11-23T10:02:06+10:00

ATTRIBUTION
http://www.aims.gov.au/docs/cc-attribution.html

DISCLAIMER
http://www.aims.gov.au/docs/disclaimer.html

PRIVACY
http://www.aims.gov.au/docs/privacy-policy.html

COPYRIGHT
http://www.aims.gov.au/docs/cc-copyright.html

COMMENT
"These data are provided by this web service under a Creative Commons License.  Please read the copyright statement and attribute AIMS according to the attribution information above.  All or some data delivered by this service may be provided by a third party and should also be attributed.  The ownership of data will be associated with the deployment information in the data.  If no ownership is supplied, AIMS is the implied owner. "

SENSOR DEFINITIONS
"Omega Interchangeable Thermistors - ON-950-440005, 3000 Ohm @ 25 deg C #DVY1"

UOM DEFINITIONS
Degrees Celsius

STATION
Davies Reef
LATITUDE
-18.83162
LONGITUDE
147.6345

Long term averages
DATE,TOTAL_YEARS,LONG_TERM_AVERAGE,wtemp_LEVEL0_summer_98_99,wtemp_LEVEL0_summer_99_00,wtemp_LEVEL0_summer_00_01,wtemp_LEVEL0_summer_01_02,wtemp_LEVEL0_summer_02_03,wtemp_LEVEL0_summer_03_04,wtemp_LEVEL0_summer_04_05,wtemp_LEVEL0_summer_05_06,wtemp_LEVEL0_summer_06_07,wtemp_LEVEL0_summer_07_08,wtemp_LEVEL0_summer_08_09,wtemp_LEVEL0_summer_09_10,wtemp_LEVEL0_summer_10_11,wtemp_LEVEL0_summer_11_12,wtemp_LEVEL0_summer_12_13,wtemp_LEVEL0_summer_13_14,wtemp_LEVEL0_summer_14_15,wtemp_LEVEL0_summer_15_16,wtemp_LEVEL0_summer_16_17,wtemp_LEVEL0_summer_17_18,wtemp_LEVEL0_summer_18_19,wtemp_LEVEL0_summer_19_20
08-DEC,15,27.486197222222224,28.0113,26.2619,26.6215,28.4377,27.1788,27.7508,27.1694,28.396,26.6777,27.9151,28.5812,27.3957,28.3455,27.9044,27.7565,27.4051,27.4188,27.6467,28.139,28.0903,26.9701,27.8315
09-DEC,15,27.499797222222224,27.9304,26.5127,26.6727,28.5498,27.2204,27.8796,27.2344,28.2465,26.5919,27.9551,28.6858,27.5173,28.3161,28.0274,27.5138,27.0894,27.7162,27.6841,28.3275,28.1981,27.1919,27.648
10-DEC,15,27.52089707927677,27.8094,26.6835,26.7392,28.6667,27.4183,27.954,27.3565,28.1756,26.2057,27.9478,28.7985,27.6488,28.3951,28.3614,27.3451,27.1105,28.1049,27.7675,28.3897,28.2056,27.1903,27.3545
11-DEC,15,27.59657361111111,27.74,26.9442,26.8396,28.7827,27.4713,28.06,27.5204,28.2656,26.2566,28.0589,28.7413,27.7883,28.4858,28.6766,27.3071,27.3635,28.4071,27.9228,28.1325,28.0158,27.2635,27.3392
12-DEC,15,27.61399861111111,27.5115,26.9671,26.911,28.8883,27.6198,28.1563,27.6273,28.3229,26.4338,28.0349,28.7475,27.8568,28.6385,28.6443,27.2113,27.6912,28.1018,27.9944,27.8563,27.8262,27.4542,27.4119
13-DEC,15,27.62483472222222,27.5856,26.9592,26.859,28.8373,27.6296,28.2071,27.6269,28.4706,26.4964,28.0417,28.8283,27.8372,28.6747,28.7724,27.0549,27.8593,28.1062,27.9574,27.7444,27.688,27.7988,27.7001
14-DEC,15,27.62732638888889,27.7163,26.7621,26.8892,28.4208,27.6198,28.375,27.7877,28.5479,26.6538,28.1643,29.008,27.846,28.7892,28.9944,27.0681,27.829,28.3665,27.9947,27.8317,27.7103,28.1735,27.5308
15-DEC,15,27.665748611111113,27.831,26.619,27.2121,28.2967,27.5969,28.4144,27.921,28.516,26.8964,28.3203,28.9788,27.8286,28.7738,28.8069,27.2064,27.8348,28.3391,28.0522,28.0092,27.8123,28.1238,27.6558
16-DEC,15,27.71292083333333,28.0704,26.7335,27.414,28.3013,27.3925,28.2652,27.956,28.5108,27.0531,28.2329,29.094,27.7216,29.0848,28.4716,27.428,27.6423,28.3827,28.0465,28.1872,27.9078,28.2098,27.916
17-DEC,15,27.783922222222223,28.4492,26.9015,27.345,28.465,27.3454,27.9525,28.1254,28.76,27.247,28.3307,29.013,27.5731,29.2944,28.1786,27.6336,27.3935,28.4661,28.0251,28.2847,28.0169,27.9285,27.9761
18-DEC,15,27.770227019498606,28.5913,27.1548,27.235,28.6067,27.0167,27.7069,28.0081,28.6538,27.3253,28.3829,28.8226,27.6471,29.5003,27.9563,27.6321,27.2746,28.4512,27.9942,28.3992,28.0226,28.3053,28.0016
19-DEC,15,27.745384722222223,28.7023,27.214,27.1267,28.6977,26.9877,27.4579,27.6658,28.8333,27.1361,28.4765,28.846,27.8378,29.3386,27.8179,27.6557,27.1444,28.4515,27.7797,28.4392,28.1252,28.4044,27.7128
20-DEC,15,27.734851388888888,28.8121,27.1333,27.066,28.5073,27.1192,27.5342,27.6931,28.8035,26.8876,28.5172,29.1177,28.0314,29.1977,27.8509,27.7509,27.0028,28.3183,27.6106,28.5117,28.1633,28.3312,27.506
21-DEC,15,27.717494444444444,28.8425,26.7329,27.0154,28.39,27.1956,27.6535,27.8821,28.7169,26.8379,28.4835,29.1317,28.1696,28.9754,27.9613,27.8586,27.059,28.1235,27.5246,28.4381,28.192,28.3863,27.3633
22-DEC,15,27.663890277777778,28.7529,26.5598,26.9419,28.4308,27.359,27.819,27.9542,28.3806,26.7922,28.489,29.0036,28.2262,28.6836,27.9847,27.9523,27.0358,28.0608,27.6183,28.4445,28.2877,28.4726,27.3801
23-DEC,15,27.719345833333332,28.6515,26.5692,27.1044,28.7021,27.6565,28.101,27.9567,28.2094,26.8074,28.6294,28.6681,28.1361,28.4297,28.1434,28.0617,27.1272,27.8187,27.7365,28.3374,28.3193,28.3817,27.5375
24-DEC,15,27.7832,28.394,26.5004,27.3079,28.9625,27.8452,28.344,28.0833,28.1831,26.9094,28.7205,28.6515,28.2356,28.1092,28.2722,27.8928,27.3933,27.641,27.7576,28.1831,28.3762,28.0025,27.6394
25-DEC,15,27.887075,28.42,26.5908,27.6194,28.9638,28.0542,28.4331,28.1106,28.3908,27.0396,28.6302,29.0533,28.3512,27.8751,28.4234,27.7981,27.6526,27.7121,27.9076,28.1237,28.4384,27.5988,27.9606
26-DEC,15,27.973672222222223,28.4913,26.7535,27.8552,29.0763,28.1281,28.6021,27.9388,28.7094,27.2975,28.1935,29.0801,28.47,27.8949,28.539,27.9811,27.7741,27.8193,28.1767,28.2566,28.4203,27.5315,28.219
27-DEC,15,28.04036034732272,28.6463,27.1673,27.8542,29.1552,28.2413,28.796,27.7121,28.7694,27.5006,27.7922,29.0149,28.4857,28.0564,28.6919,28.1665,27.9269,28.2029,28.4199,28.3236,28.4631,27.6624,28.1797
