"Financial Year","Name","Address Line 1","Address Line 2","Suburb","State","Postcode","Lodged on behalf of","Total Expenditure","1*","2*","3*","4*","5*","Total Gifts Received"
"2018-19","World Wide Fund for Nature Australia","GPO Box 528","","SYDNEY","NSW","2001","","0","N/A","N/A","N/A","N/A","N/A","0"
"2017-18","350 Australia","Suite 8","50 Reservoir Street","SURRY HILLS","NSW","2010","","4708","0","0","0","0","4708","0"
"2017-18","AEU NSW Teachers Federation","Locked Bag 3010","","DARLINGHURST","NSW","1300","","351371","8804","86318","203387","0","52862","0"
"2017-18","Alliance of Australian Retailers Pty Ltd","14 Ross Street","","NORTH PARRAMATTA","NSW","2151","","0","0","0","0","0","0","0"
"2017-18","ANIMALS AUSTRALIA FEDERATION","1 Burke Street","","MONTMORENCY","VIC","3094","","2467532","0","2270402","0","0","197130","0"
"2017-18","Australian Automobile Association","GPO Box 1555","","CANBERRA","ACT","2601","","0","0","0","0","0","0","0"
"2017-18","Australian Christian Lobby","4 Campion Street","","DEAKIN","ACT","2600","","60538","8938","0","0","0","51600","0"
"2017-18","Australian Conservation Foundation Incorporated","Level 1,","60 Leicester Street","CARLTON","VIC","3053","","191213","0","0","0","109562","81651","0"
"2017-18","Australian Council of Trade Unions","Level 6, 365 Queen Street","","MELBOURNE","VIC","3000","","10710469","136913","211862","8758219","208636","1394839","7089618"
"2017-18","Australian Education Union ","120 Clarendon Street","","SOUTHBANK","VIC","3006","","719725","25840","427222","13200","92047","161416","0"
"2017-18","Australian Education Union Victorian Branch","PO Box 363","","ABBOTSFORD","VIC","3067","","0","0","0","0","0","0","0"
"2017-18","Australian Municipal Administrative Clerical and Services Union ","Ground Floor 116 Queensberry Street","","CARLTON SOUTH","VIC","3053","","500000","500000","0","0","0","0","0"
"2017-18","Australian Nursing & Midwifery Federation","Level 1, 365 Queen Street","","MELBOURNE","VIC","3000","","524733","252","35217","0","0","489264","0"
"2017-18","Australian Nursing and Midwifery Federation SA","191 Torrens Rd","","RIDLEYTON","SA","5008","","112806","0","0","0","0","112806","0"
"2017-18","Australian Rail Tram & Bus Industry Union NSW Branch","Level 4","321 Pitt Street","SYDNEY","NSW","2000","","0","0","0","0","0","0","0"
"2017-18","Australian Workers Union WA Branch","PO Box 8122","Perth Business Centre","PERTH","WA","6849","","0","0","0","0","0","0","0"
"2017-18","Australian Youth Climate Coalition Limited","Suite 5","60 Leicester Street","Carlton ","VIC","3053","","70130","0","56960","0","0","13170","0"
"2017-18","Automotive Food Metals Engineering Printing & Kindred Ind. Union","PO Box 160","","GRANVILLE","NSW","2142","","154977","0","154977","0","0","0","0"
"2017-18","Business Council of Australia","Level 42, 120 Collins Street","","MELBOURNE","VIC","3000","","1743947","16500","694383","832686","0","200378","0"
"2017-18","Catholic Education Melbourne","James Goold House","228 Victoria Parade","EAST MELBOURNE","VIC","3002","","20054","0","20054","0","0","0","0"
"2017-18","CFMEU - Construction & General Division (WA Branch)","PO Box 8075","","PERTH BC","WA","6849","","200051","200051","0","0","0","0","0"
"2017-18","Community and Public Sector Union (PSU Group)","Level 7 191-199 Thomas Street","","HAYMARKET","NSW","2000","","25747","9545","2329","500","2271","11102","0"
"2017-18","Community and Public Sector Union CPSU (SPSF Group)","PO Box 18090","Collins Street East","MELBOURNE","VIC","8003","","150000","0","0","0","0","150000","0"
"2017-18","Council of Mayors (SEQ) Pty Ltd","PO Box 12995","","GEORGE STREET","QLD","4003","","0","0","0","0","0","0","0"
"2017-18","Dick Smith","PO Box 418","","TERREY HILLS","NSW","2084","","1375881","0","1375881","0","0","0","0"
"2017-18","Dragoman Pty Ltd","PO Box 18384","Collins Street East","MELBOURNE","VIC","8003","","25000","0","0","0","0","25000","0"
"2017-18","Electrical Trades Union of Australia NSW Branch","Level 5/370 Pitt Street","","SYDNEY","NSW","2000","","76235","0","75235","1000","0","0","0"
"2017-18","Environment Victoria","Level 2 60 Leicester St","","CARLTON","VIC","3053","","58700","0","0","0","8800","49900","0"
"2017-18","Farmers for Climate Action","2796 Crookwell Rd","","Crookwell","NSW","2583","","58566","0","0","58566","0","0","34588"
"2017-18","GetUp Limited","Level 1, 64-76 Kippax Street","","SURRY HILLS","NSW","2010","","742596","145421","422738","49888","111706","12843","207630"
"2017-18","Green Music Australia","79 Coolamon Rd","","TAROONA","TAS","7053","","6100","0","0","0","0","6100","0"
"2017-18","Greenpeace Australia Pacific Limited","Level 2","33 Mountain Street","ULTIMO","NSW","2007","","105690","3397","32348","28045","30000","11900","0"
"2017-18","Health Services Union - National Office","Suite 46, 255 Drummond Street","","CARLTON","VIC","3053","","0","0","0","0","0","0","0"
"2017-18","Health Services Union, Victoria No. 3 Branch (VAHPA)","351 William St","","WEST MELBOURNE","VIC","3003","","0","0","0","0","0","0","0"
"2017-18","Industry Super Australia","Level 39, 2 Lonsdale Street","","MELBOURNE","VIC","3000","","1432651","0","0","1432651","0","0","0"
"2017-18","LET Australia Ltd","PO Box 10944","","BRISBANE","QLD","4000","","3932719","0","604782","3145981","0","181956","0"
"2017-18","Master Builders Australia Ltd","PO Box 7170","","YARRALUMLA","ACT","2600","","66860","0","66860","0","0","0","0"
"2017-18","Minerals Council of Australia","PO Box 4497","","KINGSTON","ACT","2604","","1274162","0","388027","886135","0","0","0"
"2017-18","National Tertiary Education Union (NTEU)","PO Box 1323","","SOUTH MELBOURNE","VIC","3205","","50000","0","0","0","0","50000","0"
"2017-18","National Union of Workers","PO Box 343","","NORTH MELBOURNE","VIC","3051","","0","0","0","0","0","0","0"
"2017-18","National Union of Workers - National Office","PO Box 343","","NORTH MELBOURNE","VIC","3051","","0","0","0","0","0","0","0"
"2017-18","New South Wales Nurses and Midwives' Association","50 O'Dea Avenue","","WATERLOO","NSW","2017","","61554","0","5666","15125","0","40763","0"
"2017-18","Queensland Nurses and Midwives' Union","106 Victoria Street","","WEST END","QLD","4101","","384247","10359","0","76338","0","297550","0"
"2017-18","Queensland Teachers Union of Employees","PO Box 1750","","MILTON","QLD","4064","","144505","0","52212","0","0","92293","0"
"2017-18","RSPCA Australia","PO Box 265","","DEAKIN","ACT","2600","","26271","0","0","0","2700","23571","0"
"2017-18","Shop Assistants & Warehouse Employees' Federation of Australia-Newcastle & Northern NSW","PO Box 2211","","DANGAR","NSW","2309","","0","0","0","0","0","0","0"
"2017-18","Shop Distributive & Allied Employees' Association NSW Branch","PO Box K230","","HAYMARKET","NSW","1240","","0","0","0","0","0","0","0"
"2017-18","Shop Distributive & Allied Employees' Association of Western Australia","5th Floor, 25 Barrack Street","","PERTH","WA","6000","","0","0","0","0","0","0","0"
"2017-18","Smart Energy Council (previously Australian Solar Council)","34 Anderson Street","","CHIFLEY","ACT","2606","","34773","26280","8493","0","0","0","0"
"2017-18","St Vincent de Paul Society National Council of Australia","PO Box 243","","DEAKIN WEST","ACT","2600","","50210","0","0","0","0","50210","0"
"2017-18","The Minderoo Foundation Pty Ltd atf The Minderoo Foundation Trust","PO Box 3155","","BROADWAY NEDLANDS","WA","6009","","973194","0","0","796049","177145","0","402000000"
"2017-18","The Oaktree Foundation Australia","Level 3","33 Lincoln Square South","CARLTON","VIC","3053","","62818","0","0","0","0","62818","0"
