"Financial Year","Name","Address Line 1","Address Line 2","Suburb","State","Postcode","Lodged on behalf of","Total Expenditure","1*","2*","3*","4*","5*","Total Gifts Received"
"2015-16","Shop Distributive & Allied Employees' Association of Western Australia","5th Floor, 25 Barrack Street","","PERTH","WA","6000","","56842","0","0","0","56842","0","0"
"2015-16","Shop, Distributive & Allied Employees' Association - National","Sixth Floor","53 Queen Street","MELBOURNE","VIC","3000","","57343","57343","0","0","0","0","0"
"2015-16","Smart Energy Council (previously Australian Solar Council)","34 Anderson Street","","CHIFLEY","ACT","2606","","36000","0","36000","0","0","0","36000"
"2015-16","The Food Preservers' Union of Western Australia Union of Workers","5th Floor,","25 Barrack Street","PERTH","WA","6000","","0","0","0","0","0","0","0"
"2015-16","The Oaktree Foundation Australia","Level 3","33 Lincoln Square South","CARLTON","VIC","3053","","34689","0","8262","0","0","26427","0"
"2015-16","The Wilderness Society Limited","132 Davey Street","","HOBART","TAS","7000","","50545","0","20342","0","5000","25203","24750"
"2015-16","Transport Workers Union of New South Wales","PO Box 54","","MINCHINBURY","NSW","2770","","0","0","0","0","0","0","0"
"2015-16","Unions NSW","Level 3 4-10 Goulburn Street","","SYDNEY","NSW","2000","","186077","117800","68277","0","0","0","0"
"2015-16","United Workers Union","Locked Bag 9","","HAYMARKET","NSW","1240","","676747","16391","56671","36745","5372","561568","0"
"2015-16","Universities Australia","GPO Box 1142","","DEAKIN","ACT","2601","","1647017","0","1105812","476705","64500","0","5000000"
"2015-16","World Vision Australia","1 Vision Drive","","BURWOOD EAST","VIC","3151","","215505","0","178465","0","6500","30540","215505"
"2015-16","World Wide Fund for Nature Australia","GPO Box 528","","SYDNEY","NSW","2001","","354389","0","230161","121728","0","2500","0"
"2014-15","AEU NSW Teachers Federation","Locked Bag 3010","","DARLINGHURST","NSW","1300","","89473","0","75042","0","0","14431","0"
"2014-15","Alliance of Australian Retailers Pty Ltd","14 Ross Street","","NORTH PARRAMATTA","NSW","2151","","21487","0","21487","0","0","0","0"
"2014-15","Australian Automobile Association","GPO Box 1555","","CANBERRA","ACT","2601","","24070","0","0","0","0","24070","0"
"2014-15","Australian Christian Lobby","4 Campion Street","","DEAKIN","ACT","2600","","0","0","0","0","0","0","0"
"2014-15","Australian Council of Trade Unions","Level 6, 365 Queen Street","","MELBOURNE","VIC","3000","","2165198","191761","25013","1664855","269031","14538","4411903"
"2014-15","Australian Education Union ","120 Clarendon Street","","SOUTHBANK","VIC","3006","","151844","31286","78790","1893","39875","0","0"
"2014-15","Australian Education Union Victorian Branch","PO Box 363","","ABBOTSFORD","VIC","3067","","129374","0","129374","0","0","0","0"
"2014-15","Australian Municipal Administrative Clerical and Services Union ","Ground Floor 116 Queensberry Street","","CARLTON SOUTH","VIC","3053","","201170","201170","0","0","0","0","0"
"2014-15","Australian Rail Tram & Bus Industry Union NSW Branch","Level 4","321 Pitt Street","SYDNEY","NSW","2000","","0","0","0","0","0","0","0"
"2014-15","Australian Workers Union WA Branch","PO Box 8122","Perth Business Centre","PERTH","WA","6849","","0","0","0","0","0","0","0"
"2014-15","Automotive Food Metals Engineering Printing & Kindred Ind. Union","PO Box 160","","GRANVILLE","NSW","2142","","88972","0","88972","0","0","0","0"
"2014-15","CEPU Plumbing Division Queensland Branch","PO Box 3596","","SOUTH BRISBANE","QLD","4101","","0","0","0","0","0","0","0"
"2014-15","CFMEU - Construction & General Division (WA Branch)","PO Box 8075","","PERTH BC","WA","6849","","145796","145796","0","0","0","0","0"
"2014-15","CFMEU - Construction & General Division, National Office","PO Box Q235","QVB Post Office","SYDNEY","NSW","1230","","22657","0","22475","182","0","0","0"
"2014-15","Electrical Trades Union of Australia NSW Branch","Level 5/370 Pitt Street","","SYDNEY","NSW","2000","","0","0","0","0","0","0","0"
