Company
Mineralogy Pty Ltd
Queensland Nickel Pty Ltd
Santos Limited
Woodside Energy Limited
AUS GOLD MINING GROUP PTY LTD
Chevron Australia Pty Ltd
AGL Energy Limited
Palmer, Clive Frederick
International Coal Holdings Pty Limited
Minara Resources Pty Ltd
Nimrod Resources Limited
Boral Limited
PANORAMIC RESOURCES LIMITED
New South Wales Minerals Council Ltd
Hancock Prospecting Pty Ltd
Consolidated Minerals Limited
Adani Mining Pty Ltd
Whitehaven Coal Limited
Silver Lake Resources Limited
Tianda Resources (Australia) Pty Ltd
Waratah Coal Pty Ltd
The Griffin Coal Mining Company Pty Ltd
Newcastle Coal Infrastructure Group Pty Ltd
Peabody Energy Australia Pty Ltd
