DATE CREATED
2020-11-19T11:39:04+10:00

ATTRIBUTION
http://www.aims.gov.au/docs/cc-attribution.html

DISCLAIMER
http://www.aims.gov.au/docs/disclaimer.html

PRIVACY
http://www.aims.gov.au/docs/privacy-policy.html

COPYRIGHT
http://www.aims.gov.au/docs/cc-copyright.html

COMMENT
"These data are provided by this web service under a Creative Commons License.  Please read the copyright statement and attribute AIMS according to the attribution information above.  All or some data delivered by this service may be provided by a third party and should also be attributed.  The ownership of data will be associated with the deployment information in the data.  If no ownership is supplied, AIMS is the implied owner. "

SENSOR DEFINITIONS
Seabird SBE39-IM with Pressure 4317

UOM DEFINITIONS
Degrees Celsius

STATION,Orpheus Island
LATITUDE,-18.55998
STATION,146.48955

BLEACH THRESHOLDS
SUMMER-BEGINNING,TEMPERATURE,THRESHOLD-DAYS,ACTUAL-DAYS
1998-11-01T00:00:00,29.7,13.8,0
1998-11-01T00:00:00,29.8,10.8,0
1998-11-01T00:00:00,29.9,8.0,0
1998-11-01T00:00:00,30.0,5.0,0
1998-11-01T00:00:00,30.1,1.6,0
1998-11-01T00:00:00,30.2,1.2,0
1998-11-01T00:00:00,30.3,0.8,0
1998-11-01T00:00:00,30.4,0.0,0
1998-11-01T00:00:00,30.5,0.0,0
1998-11-01T00:00:00,30.6,0.0,0
1998-11-01T00:00:00,30.7,0.0,0
1998-11-01T00:00:00,30.8,0.0,0
1999-11-01T00:00:00,29.7,13.8,0
1999-11-01T00:00:00,29.8,10.8,0
1999-11-01T00:00:00,29.9,8.0,0
1999-11-01T00:00:00,30.0,5.0,0
1999-11-01T00:00:00,30.1,1.6,0
1999-11-01T00:00:00,30.2,1.2,0
1999-11-01T00:00:00,30.3,0.8,0
1999-11-01T00:00:00,30.4,0.0,0
1999-11-01T00:00:00,30.5,0.0,0
1999-11-01T00:00:00,30.6,0.0,0
1999-11-01T00:00:00,30.7,0.0,0
1999-11-01T00:00:00,30.8,0.0,0
2000-11-01T00:00:00,29.7,13.8,0
2000-11-01T00:00:00,29.8,10.8,0
2000-11-01T00:00:00,29.9,8.0,0
2000-11-01T00:00:00,30.0,5.0,0
2000-11-01T00:00:00,30.1,1.6,0
2000-11-01T00:00:00,30.2,1.2,0
2000-11-01T00:00:00,30.3,0.8,0
2000-11-01T00:00:00,30.4,0.0,0
2000-11-01T00:00:00,30.5,0.0,0
2000-11-01T00:00:00,30.6,0.0,0
2000-11-01T00:00:00,30.7,0.0,0
2000-11-01T00:00:00,30.8,0.0,0
2001-11-01T00:00:00,29.7,13.8,0
2001-11-01T00:00:00,29.8,10.8,0
2001-11-01T00:00:00,29.9,8.0,0
2001-11-01T00:00:00,30.0,5.0,0
2001-11-01T00:00:00,30.1,1.6,0
2001-11-01T00:00:00,30.2,1.2,0
2001-11-01T00:00:00,30.3,0.8,0
2001-11-01T00:00:00,30.4,0.0,0
2001-11-01T00:00:00,30.5,0.0,0
2001-11-01T00:00:00,30.6,0.0,0
2001-11-01T00:00:00,30.7,0.0,0
2001-11-01T00:00:00,30.8,0.0,0
2002-11-01T00:00:00,29.7,13.8,0
2002-11-01T00:00:00,29.8,10.8,0
2002-11-01T00:00:00,29.9,8.0,0
2002-11-01T00:00:00,30.0,5.0,0
2002-11-01T00:00:00,30.1,1.6,0
2002-11-01T00:00:00,30.2,1.2,0
2002-11-01T00:00:00,30.3,0.8,0
2002-11-01T00:00:00,30.4,0.0,0
2002-11-01T00:00:00,30.5,0.0,0
2002-11-01T00:00:00,30.6,0.0,0
2002-11-01T00:00:00,30.7,0.0,0
2002-11-01T00:00:00,30.8,0.0,0
2003-11-01T00:00:00,29.7,13.8,0
2003-11-01T00:00:00,29.8,10.8,0
2003-11-01T00:00:00,29.9,8.0,0
2003-11-01T00:00:00,30.0,5.0,0
2003-11-01T00:00:00,30.1,1.6,0
2003-11-01T00:00:00,30.2,1.2,0
2003-11-01T00:00:00,30.3,0.8,0
2003-11-01T00:00:00,30.4,0.0,0
2003-11-01T00:00:00,30.5,0.0,0
2003-11-01T00:00:00,30.6,0.0,0
2003-11-01T00:00:00,30.7,0.0,0
2003-11-01T00:00:00,30.8,0.0,0
2004-11-01T00:00:00,29.7,13.8,0
2004-11-01T00:00:00,29.8,10.8,0
2004-11-01T00:00:00,29.9,8.0,0
2004-11-01T00:00:00,30.0,5.0,0
2004-11-01T00:00:00,30.1,1.6,0
2004-11-01T00:00:00,30.2,1.2,0
2004-11-01T00:00:00,30.3,0.8,0
2004-11-01T00:00:00,30.4,0.0,0
2004-11-01T00:00:00,30.5,0.0,0
2004-11-01T00:00:00,30.6,0.0,0
2004-11-01T00:00:00,30.7,0.0,0
2004-11-01T00:00:00,30.8,0.0,0
