DATE CREATED
2020-11-19T11:38:43+10:00

ATTRIBUTION
http://www.aims.gov.au/docs/cc-attribution.html

DISCLAIMER
http://www.aims.gov.au/docs/disclaimer.html

PRIVACY
http://www.aims.gov.au/docs/privacy-policy.html

COPYRIGHT
http://www.aims.gov.au/docs/cc-copyright.html

COMMENT
"These data are provided by this web service under a Creative Commons License.  Please read the copyright statement and attribute AIMS according to the attribution information above.  All or some data delivered by this service may be provided by a third party and should also be attributed.  The ownership of data will be associated with the deployment information in the data.  If no ownership is supplied, AIMS is the implied owner. "

SENSOR DEFINITIONS
Seabird SBE37-IM MicroCat CTD with Pressure 1207

UOM DEFINITIONS
Degrees Celsius

STATION,One Tree Island
LATITUDE,-23.49705
STATION,152.07895

BLEACH THRESHOLDS
SUMMER-BEGINNING,TEMPERATURE,THRESHOLD-DAYS,ACTUAL-DAYS
2014-11-01T00:00:00,28.0,22.0,35
2014-11-01T00:00:00,28.1,16.0,31
2014-11-01T00:00:00,28.2,14.0,29
2014-11-01T00:00:00,28.3,11.0,26
2014-11-01T00:00:00,28.4,6.0,23
2014-11-01T00:00:00,28.5,4.0,19
2014-11-01T00:00:00,28.6,3.0,18
2014-11-01T00:00:00,28.7,2.0,16
2014-11-01T00:00:00,28.8,2.0,13
2014-11-01T00:00:00,28.9,2.0,9
2014-11-01T00:00:00,29.0,2.0,5
2014-11-01T00:00:00,29.1,0.0,3
2015-11-01T00:00:00,27.5,42.0,38
2015-11-01T00:00:00,27.6,39.0,36
2015-11-01T00:00:00,27.7,34.0,31
2015-11-01T00:00:00,27.8,28.0,25
2015-11-01T00:00:00,27.9,23.0,23
2015-11-01T00:00:00,28.0,22.0,19
2015-11-01T00:00:00,28.1,16.0,18
2015-11-01T00:00:00,28.2,14.0,17
2015-11-01T00:00:00,28.3,11.0,16
2015-11-01T00:00:00,28.4,6.0,14
2015-11-01T00:00:00,28.5,4.0,11
2015-11-01T00:00:00,28.6,3.0,9
2015-11-01T00:00:00,28.7,2.0,9
2015-11-01T00:00:00,28.8,2.0,7
2015-11-01T00:00:00,28.9,2.0,5
2015-11-01T00:00:00,29.0,2.0,1
2015-11-01T00:00:00,29.1,0.0,1
2016-11-01T00:00:00,27.5,42.0,29
2016-11-01T00:00:00,27.6,39.0,25
2016-11-01T00:00:00,27.7,34.0,23
2016-11-01T00:00:00,27.8,28.0,21
2016-11-01T00:00:00,27.9,23.0,18
2016-11-01T00:00:00,28.0,22.0,17
2016-11-01T00:00:00,28.1,16.0,17
2016-11-01T00:00:00,28.2,14.0,15
2016-11-01T00:00:00,28.3,11.0,14
2016-11-01T00:00:00,28.4,6.0,12
2016-11-01T00:00:00,28.5,4.0,11
2016-11-01T00:00:00,28.6,3.0,9
2016-11-01T00:00:00,28.7,2.0,8
2016-11-01T00:00:00,28.8,2.0,7
2016-11-01T00:00:00,28.9,2.0,5
2016-11-01T00:00:00,29.0,2.0,5
2016-11-01T00:00:00,29.1,0.0,3
2017-11-01T00:00:00,27.5,42.0,42
2017-11-01T00:00:00,27.6,39.0,38
2017-11-01T00:00:00,27.7,34.0,34
2017-11-01T00:00:00,27.8,28.0,28
2017-11-01T00:00:00,27.9,23.0,22
2017-11-01T00:00:00,28.0,22.0,19
2017-11-01T00:00:00,28.1,16.0,17
2017-11-01T00:00:00,28.2,14.0,13
2017-11-01T00:00:00,28.3,11.0,11
2017-11-01T00:00:00,28.4,6.0,9
2017-11-01T00:00:00,28.5,4.0,8
2017-11-01T00:00:00,28.6,3.0,8
2017-11-01T00:00:00,28.7,2.0,6
2017-11-01T00:00:00,28.8,2.0,3
2017-11-01T00:00:00,28.9,2.0,1
2017-11-01T00:00:00,29.0,2.0,0
2017-11-01T00:00:00,29.1,0.0,0
2018-11-01T00:00:00,27.5,42.0,0
2018-11-01T00:00:00,27.6,39.0,0
2018-11-01T00:00:00,27.7,34.0,0
2018-11-01T00:00:00,27.8,28.0,0
2018-11-01T00:00:00,27.9,23.0,0
2018-11-01T00:00:00,28.0,22.0,0
2018-11-01T00:00:00,28.1,16.0,0
2018-11-01T00:00:00,28.2,14.0,0
2018-11-01T00:00:00,28.3,11.0,0
2018-11-01T00:00:00,28.4,6.0,0
2018-11-01T00:00:00,28.5,4.0,0
2018-11-01T00:00:00,28.6,3.0,0
2018-11-01T00:00:00,28.7,2.0,0
2018-11-01T00:00:00,28.8,2.0,0
2018-11-01T00:00:00,28.9,2.0,0
2018-11-01T00:00:00,29.0,2.0,0
2018-11-01T00:00:00,29.1,0.0,0
2019-11-01T00:00:00,27.5,42.0,0
2019-11-01T00:00:00,27.6,39.0,0
2019-11-01T00:00:00,27.7,34.0,0
2019-11-01T00:00:00,27.8,28.0,0
2019-11-01T00:00:00,27.9,23.0,0
2019-11-01T00:00:00,28.0,22.0,0
2019-11-01T00:00:00,28.1,16.0,0
2019-11-01T00:00:00,28.2,14.0,0
2019-11-01T00:00:00,28.3,11.0,0
2019-11-01T00:00:00,28.4,6.0,0
2019-11-01T00:00:00,28.5,4.0,0
2019-11-01T00:00:00,28.6,3.0,0
2019-11-01T00:00:00,28.7,2.0,0
2019-11-01T00:00:00,28.8,2.0,0
2019-11-01T00:00:00,28.9,2.0,0
2019-11-01T00:00:00,29.0,2.0,0
2019-11-01T00:00:00,29.1,0.0,0
