DATE CREATED
2020-11-19T11:38:54+10:00

ATTRIBUTION
http://www.aims.gov.au/docs/cc-attribution.html

DISCLAIMER
http://www.aims.gov.au/docs/disclaimer.html

PRIVACY
http://www.aims.gov.au/docs/privacy-policy.html

COPYRIGHT
http://www.aims.gov.au/docs/cc-copyright.html

COMMENT
"These data are provided by this web service under a Creative Commons License.  Please read the copyright statement and attribute AIMS according to the attribution information above.  All or some data delivered by this service may be provided by a third party and should also be attributed.  The ownership of data will be associated with the deployment information in the data.  If no ownership is supplied, AIMS is the implied owner. "

SENSOR DEFINITIONS
Seabird SBE37-IM MicroCat CTD with Pressure 1207

UOM DEFINITIONS
Degrees Celsius

STATION
One Tree Island
LATITUDE
-23.49705
LONGITUDE
152.07895

Long term averages
DATE,TOTAL_YEARS,LONG_TERM_AVERAGE,wtemp_LEVEL1_summer_98_99,wtemp_LEVEL1_summer_99_00,wtemp_LEVEL1_summer_00_01,wtemp_LEVEL1_summer_01_02,wtemp_LEVEL1_summer_02_03,wtemp_LEVEL1_summer_03_04,wtemp_LEVEL1_summer_04_05,wtemp_LEVEL1_summer_05_06,wtemp_LEVEL1_summer_06_07,wtemp_LEVEL1_summer_07_08,wtemp_LEVEL1_summer_08_09,wtemp_LEVEL1_summer_09_10,wtemp_LEVEL1_summer_10_11,wtemp_LEVEL1_summer_11_12,wtemp_LEVEL1_summer_12_13,wtemp_LEVEL1_summer_13_14,wtemp_LEVEL1_summer_14_15,wtemp_LEVEL1_summer_15_16,wtemp_LEVEL1_summer_16_17,wtemp_LEVEL1_summer_17_18,wtemp_LEVEL1_summer_18_19,wtemp_LEVEL1_summer_19_20
13-DEC,9,25.40163611111111,,,,,,,,,,,,,,,25.2837,,25.4603,26.0302,,25.2919,,
14-DEC,9,25.40708912037037,,,,,,,,,,,,,,,24.9127,,25.6019,25.4651,,25.8211,,
15-DEC,9,25.489899305555557,,,,,,,,,,,,,,,25.3153,,25.6426,26.3458,,26.5959,,
16-DEC,9,25.51751388888889,,,,,,,,,,,,,,,26.0828,,26.8922,26.0505,,26.9321,,
17-DEC,9,25.666037704918033,,,,,,,,,,,,,,,26.4633,,27.5254,25.3987,,26.8677,,
18-DEC,9,25.78162993039443,,,,,,,,,,,,,,,26.8093,,27.5129,25.4595,,26.6749,,
19-DEC,9,25.865346064814815,,,,,,,,,,,,,,,27.3365,,27.2056,25.2738,,26.9055,,
20-DEC,9,25.975858564814814,,,,,,,,,,,,,,,27.902,,27.0552,25.4007,,27.3491,,
21-DEC,9,25.979191203703703,,,,,,,,,,,,,,,28.2486,,27.021,,27.603,,
22-DEC,9,25.96755601851852,,,,,,,,,,,,,,,28.0379,,26.5719,26.6033,,27.7376,,
23-DEC,9,25.96919375,,,,,,,,,,,,,,,26.7472,,25.9842,26.7558,,27.6024,,
24-DEC,9,26.096747916666665,,,,,,,,,,,,,,,25.8994,,26.2203,,27.5826,,
25-DEC,9,26.069425462962965,,,,,,,,,,,,,,,25.9222,,26.9411,27.1076,,27.8714,,
26-DEC,9,25.979168981481482,,,,,,,,,,,,,,,26.6963,,27.5096,27.3094,,28.1224,,
27-DEC,9,26.024221113689094,,,,,,,,,,,,,,,27.5626,,27.9499,27.724,,,
28-DEC,9,26.051714814814815,,,,,,,,,,,,,,,27.713,,28.1597,26.6495,,,
29-DEC,9,26.055610185185184,,,,,,,,,,,,,,,27.7696,,28.6488,25.4657,,28.7933,,
30-DEC,9,26.053269907407408,,,,,,,,,,,,,,,27.1455,,28.9259,25.4956,,28.7138,,
31-DEC,9,26.119127777777777,,,,,,,,,,,,,,,25.9151,,28.7669,25.5852,,28.0464,,
01-JAN,9,26.086854398148148,,,,,,,,,,,,,,,26.1955,,29.1076,25.6635,,27.2753,,
02-JAN,9,26.10196388888889,,,,,,,,,,,,,,,26.6928,,28.9627,26.4113,,27.189,,
03-JAN,9,26.17074722222222,,,,,,,,,,,,,,,27.1612,,28.0364,26.5094,,27.6961,,
04-JAN,9,26.17224675925926,,,,,,,,,,,,,,,26.6168,,27.3437,25.6661,,,
05-JAN,9,26.21603634259259,,,,,,,,,,,,,,,26.4119,,27.0798,26.354,,,,
06-JAN,9,26.22138449074074,,,,,,,,,,,,,,,26.364,,26.6689,27.7147,,,
07-JAN,9,26.38762662037037,,,,,,,,,,,,,,,26.2027,,26.5396,28.584,,26.9747,,
08-JAN,9,26.43039513888889,,,,,,,,,,,,,,,26.5481,,26.6052,28.5226,,,
09-JAN,9,26.425446064814814,,,,,,,,,,,,,,,27.2644,,26.6353,27.5828,,27.4692,,
10-JAN,9,26.42415162037037,,,,,,,,,,,,,,,27.3493,,26.7671,27.3329,,27.8812,,
11-JAN,9,26.32289814814815,,,,,,,,,,,,,,,27.5606,,27.2441,27.3368,,,
